UserID,Username,Email,JoinDate
1,andreamills,suttonjessica@williams-collins.com,2021-10-02
2,anthonygarcia,hkramer@hotmail.com,2020-10-29
3,qross,ricestephen@davies.biz,2024-08-19
4,watkinssara,jimenezthomas@martin.com,2025-01-09
5,cathymunoz,jimmygoodman@gmail.com,2022-12-17
6,ericdavis,morgan65@henderson.com,2024-12-29
7,zsmith,ericlane@hotmail.com,2020-06-25
8,jcurtis,theresa30@hubbard.com,2022-06-22
9,wallnatalie,lynnsimmons@taylor-peterson.info,2025-02-27
10,colonmaria,cooperkarina@phillips-acevedo.com,2021-09-05
